Latitude,Longitude
-37.81349283433532,144.952370512958
-37.814379319751474,144.9530385276337
-37.814408465270226,144.9547082732846
-37.81377741847559,144.95594677235323
-37.81479504894802,144.95627742053722
-37.81401411459331,144.95803142781588
-37.81586383282935,144.95799914086396
-37.81654518769562,144.95718713375425
-37.81626986303715,144.9589254652337
-37.81652630024649,144.95789695176384
-37.8150555698517,144.95831867691825
-37.81612680059291,144.95974024812614
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81506760615216,144.96114584662382
-37.81478094330211,144.9621455587876
-37.81478094330211,144.9621455587876
-37.81478094330211,144.9621455587876
-37.81505270329947,144.96113133667
-37.81505270329947,144.96113133667
-37.81505270329947,144.96113133667
-37.81505270329947,144.96113133667
-37.81505270329947,144.96113133667
-37.81505270329947,144.96113133667
-37.816124397924376,144.96029403706356
-37.81690494141297,144.95888589933506
-37.81744437490749,144.95755075458447
-37.81672445104925,144.9591677300445
-37.81672445104925,144.9591677300445
-37.81672445104925,144.9591677300445
-37.81707987371511,144.95762822534215
-37.817037994319065,144.95882749433457
-37.81602766341442,144.95998974708812
-37.81602766341442,144.95998974708812
-37.81512135562738,144.96041236534987
-37.81512135562738,144.96041236534987
-37.81512135562738,144.96041236534987
-37.81434729154639,144.96136825488247
-37.81492188538718,144.95978957127954
-37.81639602298743,144.95931059493827
-37.81639602298743,144.95931059493827
-37.8145381979387,144.96002374715786
-37.8145381979387,144.96147374715787
-37.8145381979387,144.96147374715787
-37.8145381979387,144.96147374715787
-37.81424290251693,144.9624396149614
-37.81424290251693,144.9624396149614
-37.81424290251693,144.9624396149614
-37.814122694784174,144.96358331514108
-37.814122694784174,144.96358331514108
-37.814122694784174,144.96358331514108
-37.81458598087491,144.96185430791203
-37.81458598087491,144.96185430791203
-37.815646580430894,144.9605903345809
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.81464957582742,144.96169762037087
-37.814397977056,144.9627067279262
-37.814397977056,144.9627067279262
-37.814397977056,144.9627067279262
-37.814397977056,144.9627067279262
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.81561875412051,144.96139760480028
-37.815830552105375,144.96030799862666
-37.8147307196407,144.96032719627374
-37.8147307196407,144.96032719627374
-37.81615288595108,144.9604766719762
-37.81615288595108,144.9604766719762
-37.81615288595108,144.9604766719762
-37.8167656951448,144.9588802494469
-37.815607284884486,144.95894095915614
-37.81632833818936,144.95774092493517
-37.816465060877896,144.95969615047366
-37.81472662952944,144.96032888773883
-37.81587238134579,144.9596937871363
-37.81587238134579,144.9596937871363
-37.8158463772602,144.96118356020207
-37.8158463772602,144.96118356020207
-37.8158463772602,144.96118356020207
-37.8158463772602,144.96118356020207
-37.8158463772602,144.96118356020207
-37.8144563772602,144.96118356020207
-37.8144563772602,144.96118356020207
-37.8144563772602,144.96118356020207
-37.816080807202304,144.96055999996986
